                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.6175,                 1.6195,                 1.5744,                0.50025,                0.30983,                0.20722,                0.11647,                 1.5441,                 1.7628,                 1.5636,              0.0010978,              0.0010978,              0.0010978
                    125,                 1.5844,                  1.636,                  1.526,                0.59537,                0.27538,                0.23091,                0.13222,                 1.4503,                 1.6911,                 1.5102,              0.0010965,              0.0010965,              0.0010965
                    126,                 1.6108,                 1.6189,                 1.5675,                0.55034,                0.25662,                0.21754,                 0.1211,                 1.5092,                 1.7169,                  1.546,              0.0010953,              0.0010953,              0.0010953
                    127,                 1.6388,                 1.6651,                  1.562,                0.49623,                0.26857,                0.21755,                0.12251,                 1.5758,                 1.7895,                 1.5884,              0.0010941,              0.0010941,              0.0010941
                    128,                 1.6324,                 1.6348,                 1.5774,                0.46115,                0.29302,                0.22274,                0.12836,                 1.5306,                 1.7856,                 1.5466,              0.0010928,              0.0010928,              0.0010928
                    129,                 1.6074,                  1.573,                 1.5303,                0.51561,                0.28779,                0.22943,                0.12147,                 1.5602,                 1.7517,                 1.5848,              0.0010916,              0.0010916,              0.0010916
                    130,                 1.6163,                 1.5806,                 1.5387,                0.56151,                0.27826,                0.22368,                 0.1311,                 1.4546,                 1.7153,                 1.5226,              0.0010904,              0.0010904,              0.0010904
                    131,                 1.6064,                 1.5752,                  1.531,                0.53275,                0.28952,                0.21861,                0.12684,                 1.4736,                 1.7163,                 1.5217,              0.0010891,              0.0010891,              0.0010891
                    132,                 1.5668,                 1.5626,                  1.531,                0.49095,                0.34003,                0.24577,                0.14523,                 1.4418,                 1.7016,                 1.4858,              0.0010879,              0.0010879,              0.0010879
                    133,                 1.5445,                 1.5466,                 1.4799,                0.30876,                0.28482,                0.23602,                0.12902,                  1.504,                 1.6776,                 1.5464,              0.0010866,              0.0010866,              0.0010866
